Table 26: Expected Change in Business Conditions in a Year,,,,,,,
Quarter,Year,Better,Same,Worse,DK; NA,Relative,
1,1960,33,53,6,8,127,127
2,1960,25,61,6,8,119,119
3,1960,29,56,4,11,125,125
4,1960,31,53,4,12,127,127
1,1961,51,37,6,6,145,145
2,1961,47,39,5,9,142,142
3,1961,48,38,6,8,142,142
4,1961,34,54,5,7,129,129
1,1962,39,49,5,7,134,134
2,1962,28,56,7,9,121,121
3,1962,25,59,8,8,117,117
4,1962,25,60,5,10,120,120
1,1963,31,55,7,7,124,124
2,1963,23,63,8,6,115,115
3,1963,23,63,7,7,116,116
4,1963,24,62,7,7,117,117
1,1964,31,56,8,5,123,123
2,1964,27,59,7,7,120,120
3,1964,29,58,7,6,122,122
4,1964,31,56,7,6,124,124
1,1965,33,55,7,5,126,126
2,1965,34,54,6,7,128,127.7227723
3,1965,34,52,5,9,129,129
4,1965,36,52,6,6,130,130
1,1966,29,54,8,9,121,121
2,1966,19,63,12,6,107,107
3,1966,23,54,13,10,110,110
4,1966,17,60,12,11,105,105
1,1967,23,58,12,7,111,111
2,1967,26,55,10,9,116,116
3,1967,21,61,10,8,111,111
4,1967,25,56,12,7,113,113
1,1968,22,56,14,8,108,108
2,1968,21,59,11,9,110,110
3,1968,21,62,9,8,112,112
4,1968,19,65,10,6,109,109
1,1969,22,61,12,5,110,110
2,1969,22,59,14,5,108,108
3,1969,20,57,18,5,102,102
4,1969,19,50,26,5,93,93
1,1970,21,49,26,4,95,95
2,1970,20,49,25,6,95,95
3,1970,26,50,18,6,108,108
4,1970,22,52,19,7,103,103
1,1971,31,48,17,4,114,114
2,1971,31,47,18,4,113,113
3,1971,34,47,14,5,120,120
4,1971,33,48,13,6,120,120
1,1972,40,46,10,4,130,130
2,1972,31,52,12,5,119,119
3,1972,32,55,7,6,125,125
4,1972,29,53,12,6,117,117
1,1973,25,47,22,6,103,103
2,1973,20,47,26,7,94,94
3,1973,19,47,27,7,92,92
4,1973,20,47,25,8,95,95
1,1974,19,42,36,3,83,83
2,1974,21,47,26,6,95,95
3,1974,24,47,25,4,99,99
4,1974,18,39,36,7,82,82
1,1975,30,42,25,3,105,105
2,1975,39,43,14,4,125,125
3,1975,34,49,14,3,120,120
4,1975,30,47,17,6,113,113
1,1976,39,46,10,5,129,129
2,1976,30,50,11,9,119,119
3,1976,34,51,8,7,126,126
4,1976,40,46,9,5,131,131
1,1977,42,44,10,4,132,132
2,1977,32,53,11,4,121,121
3,1977,25,58,15,2,110,110
4,1977,22,58,16,4,106,106
1,1978,24,54,18,4,106,106
2,1978,21,54,22,3,99,99
3,1978,19,55,24,2,95,95
4,1978,17,48,30,5,87,87
1,1979,15,47,34,4,81,81
2,1979,12,46,39,3,73,73
3,1979,13,45,39,3,74,74
4,1979,16,46,36,2,80,80
1,1980,18,45,34,3,84,84
2,1980,20,37,39,4,81,81
3,1980,30,44,22,4,108,108
4,1980,34,44,17,5,117,117
1,1981,37,42,18,3,119,119
2,1981,36,42,20,2,116,116
3,1981,35,44,19,2,116,116
4,1981,30,40,27,3,103,103
1,1982,34,37,27,2,107,107
2,1982,36,37,25,2,111,111
3,1982,34,42,23,1,111,111
4,1982,39,39,20,2,119,119
1,1983,44,41,13,2,131,131
2,1983,53,39,7,1,146,146
3,1983,47,42,9,2,138,138
4,1983,45,43,9,3,136,136
1,1984,40,47,10,3,130,130
2,1984,31,53,14,2,117,117
3,1984,33,49,14,4,119,119
4,1984,33,48,15,4,118,118
1,1985,30,53,15,2,115,115
2,1985,29,54,15,2,114,114
3,1985,25,57,15,3,110,110
4,1985,24,57,18,1,106,106
1,1986,27,56,15,2,112,112
2,1986,27,57,15,1,112,112
3,1986,24,58,16,2,108,108
4,1986,20,59,19,2,101,101
1,1987,23,57,18,2,105,105
2,1987,22,58,19,1,103,103
3,1987,24,57,15,4,109,109
4,1987,22,54,21,3,101,101
1,1988,22,58,18,2,104,104
2,1988,24,55,18,3,106,106
3,1988,25,54,16,5,109,109
4,1988,20,59,17,4,103,103
1,1989,23,57,17,3,106,106
2,1989,21,57,20,2,101,101
3,1989,20,60,17,3,103,103
4,1989,21,59,17,3,104,104
1,1990,21,58,19,2,102,102
2,1990,21,58,19,2,102,102
3,1990,13,55,30,2,83,83
4,1990,14,43,39,4,75,75
1,1991,31,41,24,4,107,107
2,1991,35,46,17,2,118,118
3,1991,32,51,15,2,117,117
4,1991,24,49,24,3,100,100
1,1992,31,43,24,2,107,107
2,1992,33,48,17,2,116,116
3,1992,28,52,16,4,112,112
4,1992,36,45,14,5,122,122
1,1993,38,43,16,3,122,122
2,1993,28,48,21,3,107,107
3,1993,23,49,25,3,98,98
4,1993,24,53,21,2,103,103
1,1994,33,48,16,3,117,117
2,1994,27,53,18,2,109,109
3,1994,25,56,18,1,107,107
4,1994,27,56,15,2,112,112
1,1995,28,54,16,2,112,112
2,1995,21,59,18,2,103,103
3,1995,23,60,15,2,108,108
4,1995,22,58,18,2,104,104
1,1996,22,56,19,3,103,103
2,1996,22,57,18,3,104,104
3,1996,24,57,16,3,108,108
4,1996,26,58,14,2,112,112
1,1997,25,59,13,3,112,112
2,1997,23,61,14,2,109,109
3,1997,29,58,11,2,118,118
4,1997,26,60,12,2,114,114
1,1998,27,61,10,2,117,117
2,1998,25,62,11,2,114,114
3,1998,25,57,15,3,110,110
4,1998,23,56,20,1,103,103
1,1999,23,59,16,2,107,107
2,1999,24,60,14,2,110,110
3,1999,23,61,15,1,108,108
4,1999,24,59,14,3,110,110
1,2000,26,62,9,3,117,117
2,2000,24,62,11,3,113,113
3,2000,24,61,12,3,112,112
4,2000,26,54,17,3,109,109
1,2001,26,47,24,3,102,102
2,2001,30,45,23,2,107,107
3,2001,30,45,22,3,108,108
4,2001,43,35,19,3,124,124
1,2002,51,35,11,3,140,140
2,2002,42,44,12,2,130,130
3,2002,38,43,17,2,121,121
4,2002,34,44,19,3,115,115
1,2003,29,42,26,3,103,103
2,2003,42,40,16,2,126,126
3,2003,37,45,17,1,120,120
4,2003,39,44,15,2,124,124
1,2004,39,47,12,2,127,127
2,2004,34,48,15,3,119,119
3,2004,37,46,13,4,124,124
4,2004,35,47,16,2,119,119
1,2005,29,51,19,1,110,110
2,2005,23,53,23,1,100,100
3,2005,21,51,27,1,94,94
4,2005,23,49,27,1,96,96
1,2006,22,53,24,1,98,98
2,2006,16,53,30,1,86,86
3,2006,15,57,26,2,89,89
4,2006,21,58,19,2,102,102
1,2007,20,59,19,2,101,101
2,2007,17,58,24,1,93,93
3,2007,17,58,24,1,93,93
4,2007,16,54,29,1,87,87
1,2008,21,48,29,2,92,92
2,2008,17,42,39,2,78,78
3,2008,22,48,29,1,93,93
4,2008,26,45,26,3,100,100
1,2009,29,41,27,3,102,102
2,2009,39,40,20,1,119,119
3,2009,38,42,19,1,119,119
4,2009,34,46,18,2,116,116
1,2010,37,44,17,2,120,120
2,2010,34,45,20,1,114,114
3,2010,26,49,23,2,103,103
4,2010,30,53,16,1,114,114
1,2011,31,48,19,2,112,112
2,2011,28,51,20,1,108,108
3,2011,20,50,29,1,91,91
4,2011,22,53,24,1,98,98
1,2012,30,54,14,2,116,116
2,2012,30,52,14,4,116,116
3,2012,31,48,17,4,114,114
4,2012,34,43,19,4,115,115
1,2013,30,45,23,2,107,107
2,2013,29,50,19,2,110,110
3,2013,25,50,24,1,101,101
4,2013,24,46,28,2,96,96
1,2014,25,49,25,1,100,100
2,2014,24,54,21,1,103,103
3,2014,22,51,25,2,97,97
4,2014,28,53,18,1,110,110
1,2015,32,49,17,2,115,115
2,2015,29,54,16,1,113,113
3,2015,24,53,22,1,102,102
4,2015,21,57,19,3,102,102
1,2016,23,54,19,4,104,104
2,2016,22,54,20,4,102,102
3,2016,24,52,20,4,104,104
4,2016,32,42,22,4,110,110
1,2017,42,31,25,2,117,117
2,2017,38,36,24,2,114,114
3,2017,30,45,24,1,106,106
